"Category","Gene","Gene_ID","Never_Treg","exTreg","Stable_Treg","Recent_Treg"
"Treg_Signature","Foxp3","ENSMUSG00000039521",101,191.3,69699.9,27768.8
"Treg_Signature","Il2ra","ENSMUSG00000026770",535.1,5126.4,86237.1,41930.3
"Treg_Signature","Ctla4","ENSMUSG00000026011",1116.7,7918.4,27811.7,18772.4
"Treg_Signature","Ikzf2","ENSMUSG00000025997",2502.8,39172,79792.1,14169.1
"Treg_Signature","Tnfrsf18","ENSMUSG00000041954",896.8,1914.1,4329.8,2738.7
"Treg_Signature","Nrp1","ENSMUSG00000025810",413.2,12410.4,18232.9,2764.6
"Treg_Signature","Icos","ENSMUSG00000026009",7557.3,21440.9,34339.2,19310.8
"Treg_Signature","Lrrc32","ENSMUSG00000090958",57.8,979.7,47187.4,12892.3
"Treg_Signature","Entpd1","ENSMUSG00000048120",248.1,737.9,3471.1,1805.3
"Treg_Signature","Nt5e","ENSMUSG00000032420",1959.2,16152.7,29101.7,10237.6
"Treg_Signature","Itgae","ENSMUSG00000005947",31.5,328.1,9465.5,1547.6
"Treg_Signature","Tigit","ENSMUSG00000071552",283.9,6019.9,4894.5,1179.9
"Treg_Signature","Cd28","ENSMUSG00000026012",31462.4,44326.8,28224.9,32843.6
"Exhaustion","Pdcd1","ENSMUSG00000026285",92,3308.8,396.6,409.3
"Exhaustion","Lag3","ENSMUSG00000030124",69.3,1654.1,800.5,814.6
"Exhaustion","Havcr2","ENSMUSG00000020399",0,63.2,23.5,41.3
"Exhaustion","Tox","ENSMUSG00000041272",3603,7499.5,6031.1,4585.9
"Exhaustion","Tox2","ENSMUSG00000074607",420.9,2774.9,287.5,145.3
"Exhaustion","Nr4a1","ENSMUSG00000023034",749.3,1250.4,2591,1685.3
"Exhaustion","Nr4a2","ENSMUSG00000026826",140.8,367.1,88.7,176.2
"Exhaustion","Nr4a3","ENSMUSG00000028341",1226.8,1989,2298.2,2129
"Exhaustion","Eomes","ENSMUSG00000032446",447.5,202.2,136.1,208.2
"Exhaustion","Tbx21","ENSMUSG00000001444",203.6,174.9,23.2,25.6
"Exhaustion","Prdm1","ENSMUSG00000038151",677.3,859,2982.6,1491.8
"Exhaustion","Batf","ENSMUSG00000034266",976.5,2088.7,2540.2,1008.6
"Exhaustion","Irf4","ENSMUSG00000021356",1495.7,5153.9,6746.2,4184.1
"Exhaustion","Cd160","ENSMUSG00000038304",450.7,524.1,885.4,384.9
"Treg_Function","Il10","ENSMUSG00000016529",0.4,141.9,2061.3,289
"Treg_Function","Tgfb1","ENSMUSG00000002603",2937,3462.3,6661.1,2645.1
"Treg_Function","Ebi3","ENSMUSG00000003206",6.5,276.4,174.9,110
"Treg_Function","Fgl2","ENSMUSG00000039899",307.8,187.2,4933.2,1235.1
"Treg_Function","Gzmb","ENSMUSG00000015437",26.3,165.4,417.4,424.9
"Treg_Function","Prf1","ENSMUSG00000037202",364.7,38.7,23.2,89.1
"Treg_Function","Ahr","ENSMUSG00000019256",482.3,2062.2,2139.8,3826
"Treg_Function","Maf","ENSMUSG00000055435",10761.3,61705.1,29378.2,32005.8
"Treg_Function","Rorc","ENSMUSG00000028150",12.5,652.9,125.5,562.4
"Treg_Function","Stat3","ENSMUSG00000004040",9940.8,9796.3,15889.7,9032.3
"Treg_Function","Stat5a","ENSMUSG00000004043",3038.8,2905.8,3962.8,4536.4
"Treg_Function","Stat5b","ENSMUSG00000020919",3448.9,3162.1,4065.2,4650.3
"Treg_Function","Bcl2","ENSMUSG00000057329",15958.6,9103.2,12758.2,25868.4
"Treg_Function","Mcl1","ENSMUSG00000038612",14931.7,12087,16947.8,18348.9
